Date,AAPL,CVX,JNJ,MSFT,NVDA,PFE,UNH,XOM
2019-08-05,209572000,8620300,9480000,42749600,589156000,46030183,5812400,19080900
2019-08-06,143299200,6788000,7880600,32696700,361272000,31985843,3533000,12282400
2019-08-07,133457600,6853700,6771700,33414500,372560000,32017253,3205800,15231100
2019-08-08,108038000,8868100,5260500,27496500,309300000,23356429,2830700,14304100
2019-08-09,98478800,5051700,4677300,23466700,341816000,25391703,2535000,13686600
2019-08-12,89927600,3936500,6852100,20484300,279200000,44212665,2667400,9542600
2019-08-13,188874000,5806400,5013200,25154600,351956000,45549453,2763400,12403300
2019-08-14,146189600,7175600,7736200,32527300,419880000,38633421,3464300,18114400
2019-08-15,108909600,6272600,7251200,28074400,477200000,30713665,2513500,12874400
2019-08-16,110481600,6239100,5858900,24449100,1007960000,30012334,2810000,12649000
2019-08-19,97654400,6443700,4958000,24355700,815112000,21997296,2672300,10032800
2019-08-20,107537200,5150900,7302000,21170800,463188000,19932510,3201300,9743500
2019-08-21,86141600,4578400,6912800,14970300,427244000,19208728,2761900,10134200
2019-08-22,89014800,4362100,7213500,18697000,303488000,16933142,4498200,8972000
2019-08-23,187272000,7653400,15714000,38508600,568056000,27765311,4826600,15371900
2019-08-26,104174400,3966400,8889500,20312600,318208000,17468680,2918300,7343900
2019-08-27,103493200,4237100,20183800,23102100,290968000,24715351,4988100,9490900
2019-08-28,63755200,4153500,9878800,17393300,255612000,26047924,4847600,9647400
2019-08-29,83962000,4467300,6749900,20168700,357976000,19610302,4052500,9004100
2019-08-30,84573600,4881100,7371100,23940100,290616000,18873346,3384100,9180800
2019-09-03,80092000,5672500,5710200,18869300,296140000,26624989,3382300,9849700
2019-09-04,76752400,4595600,4807200,17995900,227728000,20649441,4526100,6959200
2019-09-05,95654800,5394300,4754100,26101800,695676000,22096794,4256900,9901500
2019-09-06,77449200,4578200,6758300,20824500,376976000,20873416,4183200,10418500
2019-09-09,109237600,5048000,7684700,25773900,417524000,24675616,3895600,12840200
2019-09-10,127111600,8728800,8239500,28903400,352812000,32250397,4257600,13810800
2019-09-11,177158400,5509500,6203600,24726100,361512000,16963181,3168100,10525700
2019-09-12,128906800,5818300,5250000,27010000,327840000,16692303,4713700,9100700
2019-09-13,159053200,4885400,5369800,23363100,324592000,24099605,4523200,7337200
2019-09-16,84632400,10683900,5101700,16731400,231832000,19877070,2973600,19830200
2019-09-17,73274800,7246500,4976400,17814200,223048000,22091945,2392900,14452200
2019-09-18,101360000,4801500,4373600,23982100,258152000,19679550,2960500,7292200
2019-09-19,88242400,4034500,4730100,35772100,245476000,17746409,2666700,8050200
2019-09-20,221652400,10420700,12053100,39167300,350244000,45990658,6220100,19736600
2019-09-23,76662000,4705500,5183700,17139300,249712000,17295191,3281200,7495200
2019-09-24,124763200,6232100,7102600,29773200,317268000,24186560,5006800,13307100
2019-09-25,87613600,3762500,4522900,21382000,308432000,20269685,4658000,8035200
2019-09-26,75334000,7834400,7545800,17456600,234564000,17059728,10444400,8420200
2019-09-27,101408000,6850700,6006500,22477700,362056000,17583671,4834900,8224000
2019-09-30,103909600,6108300,6552100,17280900,186184000,17205391,5286300,9768900
2019-10-01,139223200,7116600,7673000,21466600,366008000,22013001,5523600,10279100
2019-10-02,138449200,9702400,12051800,30521700,293372000,22458000,4921200,14503700
2019-10-03,114426000,5315300,6997600,24132900,450588000,22076135,3375800,10788400
2019-10-04,138478800,4757300,7233300,22897700,265524000,18065349,3700500,10534800
2019-10-07,122306000,4694000,5427200,15303700,480984000,11759373,3843200,10993000
2019-10-08,111820000,5323900,7870400,25550500,444436000,14761270,4817000,9748700
2019-10-09,74770400,4601700,7787700,19749900,292412000,13634333,4483100,8580900
2019-10-10,113013600,3555500,5119700,17654600,309124000,12198680,5252200,7100100
2019-10-11,166795600,5134200,7161400,25446000,446404000,18446054,5891600,10101900
2019-10-14,96427600,2571300,5700000,13304300,200040000,8700981,4075300,6234600
2019-10-15,87360000,3742700,10008800,19695700,664124000,15178232,13397700,6645700
2019-10-16,73903200,3608900,12434200,20751600,428944000,14435795,5368600,9765800
2019-10-17,67585200,3722400,8434000,21460600,263436000,15312090,6301200,9757200
2019-10-18,97433600,5679900,25868700,32273500,307440000,14219198,4922100,13472700
2019-10-21,87247200,3926300,13823600,20078200,261868000,13237081,3029200,10199300
2019-10-22,82293600,4095000,7613700,27431000,328720000,14549416,5660800,9536000
2019-10-23,75828800,4148500,6693400,29844600,279916000,14000598,3706600,8641800
2019-10-24,69275200,3873900,12111600,37029300,232020000,19998385,2546900,9003600
2019-10-25,73477200,3369100,6947300,25959700,423092000,17497665,2815100,7607200
2019-10-28,96572800,5076300,7876300,35280100,330792000,25800339,2957100,11209600
2019-10-29,142839600,4548400,4506300,20589500,211236000,32212032,3528900,13894400
2019-10-30,124522000,4690900,9627600,18496600,205960000,22019430,3299600,12840600
2019-10-31,139162000,7177700,7686700,24605100,209732000,24539860,3960400,16169100
2019-11-01,151125200,7684700,5541800,33128400,283640000,19263220,2919600,14108700
2019-11-04,103272000,10348800,6140300,16912000,376716000,17709730,3186400,15858200
2019-11-05,79897600,6971200,6257300,18250200,300868000,21688474,5393400,14930400
2019-11-06,75864400,6104700,5450000,16575800,269012000,18757722,3668600,13996500
2019-11-07,94940400,5440700,5873700,17786700,280340000,22727297,3646300,13073800
2019-11-08,69986400,4249800,5003000,16732700,189100000,26626886,2200300,12106000
2019-11-11,81821200,3870800,4371400,14362600,243436000,12542916,1765600,8674000
2019-11-12,87388800,4503600,5228700,18641600,283504000,13338370,1892500,13918600
2019-11-13,102734400,5076400,5885400,16919200,300188000,25855252,3289800,11773700
2019-11-14,89182800,4882800,4217500,19729800,518080000,25190600,2101900,11279800
2019-11-15,100206400,5589600,10495100,23485700,1053628000,36378810,10136000,11252800
2019-11-18,86703200,4885300,9291800,21534000,574588000,18084532,6985200,10095600
2019-11-19,76167200,8723000,5192200,23935700,414564000,26475110,4002000,12605500
2019-11-20,106234400,5903100,7594400,25696800,472588000,19947582,4141600,16930700
2019-11-21,121395200,5810900,6424900,18576100,288388000,20942664,3309900,14080900
2019-11-22,65325200,4786800,9235800,15901800,224100000,25544006,2802700,12143600
2019-11-25,84020400,7390000,6111900,22420900,506476000,31592385,4082900,10670000
2019-11-26,105207600,10053100,10636500,24620100,385244000,34620633,2998600,15457000
2019-11-27,65235600,4106100,5523000,15184400,215784000,19201034,2323900,8393900
2019-11-29,46617600,3271000,3278900,11977300,141556000,9793873,1520900,7980800
2019-12-02,94487200,5195200,4717100,27418400,372036000,15645998,2517100,11116900
2019-12-03,114430400,6135800,5741400,24066000,465232000,20869832,3239200,12245800
2019-12-04,67181600,5706700,7257300,17574700,273424000,14501248,2694200,11049700
2019-12-05,74424400,5517500,5472900,17869100,184884000,13098058,3357300,13109000
2019-12-06,106075600,6735300,6640400,16403500,232236000,12868708,2828900,13710800
2019-12-09,128042400,4736100,4241000,16687400,211880000,15641571,2697100,12397700
2019-12-10,90420400,4886800,5310300,16476100,256388000,19171311,2515300,14281800
2019-12-11,78756800,7039600,6631500,18856600,233796000,15569372,2751300,13748400
